job_id,company_id,location,designation,details_id,,,
1,1,Bangalore,Finance Associate Controller (Drive),1,,,
2,1,Bangalore,Finance Associate Reporting (Drive),2,,,
3,2,Mumbai,BDE / BDA - Inside Sales (Drive),3,,,
4,2,Mumbai,Senior Backend Engineer,4,,,
5,3,Mumbai,Key Account Manager (Drive),5,,,
6,4,"Bangalore, Hyderabad",Data Analyst / Senior Data Analyst (Drive),6,,,
7,5,"Bangalore, Chennai",Data Scientist (Drive),7,,,
8,5,"Bangalore, Chennai",Product Solution Engineer (Drive),8,,,
9,6,Bangalore,Brand Sales Manager (Drive),9,,,
10,7,Bangalore,Inside Sales Manager (Drive),10,,,
11,8,Bangalore,Customer Success Manager (Drive),11,,,
12,9,"Bangalore, Mumbai",Relationship Manager (Drive),12,,,
13,9,"Amritsar, Chennai, Delhi",Sales Manager - Portfolio (Drive),13,,,
14,10,Gurgaon,Blu Smart - Business Development Manager $$ SPP,14,,,
15,10,Gurgaon,Business Development Manager,15,,,
16,11,Bangalore,Solution Engineer,16,,,
17,12,Pune,Software Developer,17,,,
18,12,Pune,Test Engineer,18,,,
19,13,Bangalore,Principal Software Engineer,19,,,
20,14,Hyderabad,Head of Sourcing (Drive),20,,,
21,15,Indore,Data Analyst,21,,,
22,15,Noida,Data Analysit,22,,,
23,15,Pune,Data Analyst,23,,,
24,15,Hyderabad,Data Analyst,24,,,
25,15,Noida,Software Engineer,25,,,
26,15,Bangalore,Salesforce Developer - Lead,26,,,
27,15,Bangalore,Salesforce Developer,27,,,
28,15,Hyderabad,Salesforce Developer,28,,,
29,15,Jaipur,Salesforce Developer,29,,,
30,15,Pune,.NET Core React Developer,30,,,
31,16,Noida,Core PHP Developer,31,,,
32,17,Bangalore,Principal Architect,32,,,
33,17,Hyderabad,Data Scientist,33,,,
34,18,Hyderabad,Full Stack Developer,34,,,
35,18,Hyderabad,Full Stack Developer II,35,,,
36,19,Bangalore,Data Analyst,36,,,
37,19,Bangalore,Product Manager,37,,,
38,20,Mumbai,Frontend Developer,38,,,
39,21,Ahmedabad,Business Development Executive,39,,,
40,22,Bangalore,Backend Developer,40,,,
41,23,Hyderabad,Software Engineer II - API and AWS Senior Developer,41,,,
42,24,Hyderabad,Snowflake Architect,42,,,
43,24,Hyderabad,C++ Developer,43,,,
44,25,Bangalore,CISO / IT Risk Manager - AVP,44,,,
45,26,Bangalore,Dot .NET Backend Developer,45,,,
46,27,Delhi,Technical Project Manager,46,,,
47,27,Delhi,.NET - Lead,47,,,
48,27,Delhi,Java Developer,48,,,
49,28,Bangalore,Golang Developer,49,,,
50,29,Chandigarh,Full Stack Developer & Lead - Java,50,,,
51,30,Bangalore,Data Engineer,51,,,
52,30,Bangalore,Data Test Engineer,52,,,
53,30,Bangalore,Full Stack Developer - .NET,53,,,
54,30,Bangalore,Full Stack Developer - .NET,54,,,
55,30,Bangalore,Java Developer,55,,,
56,30,Bangalore,.NET Full Stack,56,,,
57,30,Bangalore,Machine Learning Engineer,57,,,
58,30,Bangalore,Xamarin Developer,58,,,
59,30,Bangalore,Data Engineer,59,,,
60,30,Bangalore,Databricks Developer,60,,,
61,30,Bangalore,Xamarin Developer (Android Exp),61,,,
62,31,Pune,Sitecore Developer,62,,,
63,32,Chennai,Engineering Lead - Mobile,63,,,
64,33,Bangalore,QA Engineer,64,,,
65,33,Bangalore,Frontend Developer,65,,,
66,34,Bangalore,IDQ / IPC Developer,66,,,
67,35,Bangalore,Backend Developer - .NET,67,,,
68,36,Delhi,Admission Counsellor,68,,,
69,37,Bangalore,Software Development Engineer,69,,,
